C0,C1,C2,C3,C4,C5,flux
-286.31869,6.3981272,3.0519971,-0.026704029,-0.24939355,-0.028701462,161.6
180.98832,-1.7688183,7.209788,0.0079741101,-0.22912214,-0.063699534,158.5
29.616759,0.91616767,-7.2104404,-0.0037702733,-0.0098136533,0.041004676,158.3
-225.80017,5.2223108,2.6025114,-0.021689466,-0.1172238,-0.046583704,155.4
-227.11994,5.5080401,-2.8887945,-0.023846914,-0.1573525,0.0061326041,146.7
-54.916755,2.537975,0.40620938,-0.0116679,-0.23678679,-0.017277333,146.5
15.626595,1.098914,-0.31522409,-0.0043914589,-0.21861866,0.0016339336,146.0
-43.33428,2.1109125,6.9866344,-0.008743751,-0.20456919,-0.06047394,139.5
-152.97546,4.5671029,-5.5682534,-0.02105093,-0.26726586,0.036765358,143.8
-278.97039,6.1909637,-9.426056,-0.025998423,-0.25052037,0.075668574,149.5
291.93972,-3.694797,-12.349706,0.015616418,-0.097030969,0.11694954,162.5
-226.61839,5.2596578,-17.299862,-0.022479359,-0.34344798,0.12643003,145.8
-360.26475,7.9313847,5.0398735,-0.035335841,-0.15338308,-0.05210173,145.9
-214.04338,5.435864,1.6670351,-0.024211438,-0.31008669,-0.025145154,142.1
136.01471,-0.37208598,-0.94206838,-0.00068963592,-0.27610534,-0.019903508,137.5
-69.822823,2.851868,3.7972002,-0.013070616,-0.18545466,-0.064873038,134.2
-57.851943,2.6369843,3.4223181,-0.011933894,-0.25420761,-0.051341897,135.1
-1.8614029,1.6704746,0.42014358,-0.0080132812,-0.24840944,-0.028917791,137.0
-130.45746,3.974988,1.8616173,-0.017970875,-0.28239672,-0.042868456,147.9
56.994212,1.0159633,-18.766691,-0.0071665308,-0.17019205,0.16207341,150.1
-105.48836,3.1778576,-7.867349,-0.013221387,-0.13050809,0.049820577,151.4
-105.75793,3.3846166,-6.5603752,-0.014853979,-0.18635231,0.041181073,153.8
-21.082668,1.8469406,3.3643411,-0.0080655296,-0.2717744,-0.033516439,156.0
-153.49052,4.2521229,12.787312,-0.018515417,-0.25062914,-0.12575321,157.7
-85.286767,3.0771903,0.85529744,-0.013993651,-0.056193362,-0.036482303,152.0
-241.50078,5.7157154,-11.192083,-0.024506515,-0.38619769,0.079599144,152.5
-68.549164,3.115126,2.0793298,-0.014840334,-0.30595722,-0.030850935,144.2
-218.01847,5.6080181,-4.0158415,-0.024910715,-0.19161323,0.022001399,145.9
52.957061,0.60932722,1.2295678,-0.0028639096,-0.070368826,-0.033758155,142.3
-134.91977,3.8927878,1.4821,-0.016529612,-0.21227099,-0.027466866,148.1
-300.80068,6.6851581,-4.5856033,-0.028461807,-0.12699859,0.026639859,152.1
106.41841,0.072384618,5.3393974,-0.003324715,-0.27199149,-0.072812673,125.3
724.6213,-10.815745,5.1937043,0.044201828,-0.36859097,-0.077789788,128.1
-231.52762,5.2862143,1.734068,-0.022701273,-0.1591032,-0.010618658,122.9
-55.606121,2.3534458,-2.5826917,-0.010095899,-0.22357206,0.008038083,122.1
-87.522391,2.7215766,3.3821412,-0.011371633,-0.2130737,-0.037919714,137.9
-312.2307,6.2514418,-10.255167,-0.025074163,-0.049335604,0.057754128,125.4
-209.71808,4.794242,6.0152612,-0.020027352,-0.154139,-0.079672205,135.7
-124.71744,3.3683916,1.8668207,-0.014768316,0.038188764,-0.04375215,122.3
-204.94601,4.8517053,1.1468663,-0.020748539,-0.072183723,-0.030879719,121.2
-14.298085,1.4270468,8.8448569,-0.0059097779,-0.21184365,-0.092950978,119.2
-17.275126,1.2326309,-0.83862121,-0.0043855451,-0.069655085,-0.010465169,129.9
-130.99889,3.3807123,2.8535098,-0.013968937,-0.19731077,-0.029472984,125.1
-139.13591,3.6944408,-0.37508689,-0.015824838,-0.14746723,-0.013158347,117.9
-205.73766,4.608818,-11.147137,-0.019208734,0.02137505,0.079145096,114.3
-59.138229,2.1161109,-3.6590294,-0.0085923824,-0.20763085,0.028916235,113.1
-187.93325,4.4122788,-9.1549478,-0.019102812,-0.098898437,0.071370933,116.0
-188.68886,4.3083081,-3.8870796,-0.01744876,-0.27849931,0.0082431803,113.2
887.77146,-13.620582,4.5066959,0.05342328,0.034246673,-0.027206688,113.7
-315.72218,6.3298991,-7.7289812,-0.026557212,-0.10173949,0.047479488,108.3
-278.62676,5.9880243,-11.793624,-0.025856493,-0.26467006,0.081944019,111.8
-223.50247,5.1352462,-9.1424823,-0.02219827,-0.33686772,0.062097556,112.7
-6.8502181,1.3004636,-2.1894972,-0.0056163212,-0.13164947,-0.01538353,121.5
-247.19164,5.4211172,3.9047215,-0.022705946,-0.43283987,-0.072360509,127.2
-158.82965,4.3523802,-8.5458709,-0.020205831,-0.13718194,0.052450786,132.2
-133.29491,3.6939486,1.8141788,-0.015889841,-0.33450877,-0.037665868,137.0
-116.43515,3.4916608,2.251907,-0.015081417,-0.34660694,-0.030915358,135.5
-246.96159,5.8935337,14.302449,-0.026377247,-0.35998812,-0.1543625,137.2
-278.16786,6.5110873,-3.4657762,-0.029168282,-0.30409841,0.0081417813,145.1
-60.86478,2.7525536,-5.8930855,-0.012588471,-0.27306287,0.030599379,144.0
-286.84955,6.9341687,-3.0923657,-0.031681694,-0.45013586,0.0037181078,133.3
-748.52967,13.88889,-26.490278,-0.057679577,-0.49052536,0.18745253,127.8
-134.89012,2.9953416,10.665726,-0.012455916,-0.1648731,-0.10497271,95.1
222.22357,-2.9717813,2.8263839,0.012658943,-0.23883535,-0.02876865,96.5
-100.56164,2.6360843,1.7743964,-0.011153013,-0.15939424,-0.020995369,97.1
-161.40561,3.679732,9.2113381,-0.015432737,-0.19362008,-0.089721697,98.9
-244.63159,4.9059809,4.9151786,-0.020012,-0.12005777,-0.044958003,94.7
-189.17189,4.5568628,-2.900647,-0.021120945,-0.22592359,0.010266906,94.1
-195.5305,4.5109487,0.64546854,-0.019800884,-0.18782193,-0.0056747032,92.8
-266.27204,5.9678474,1.4198341,-0.027169071,-0.28581422,-0.021184777,94.2
-136.97607,3.7579081,-2.7271423,-0.018037695,-0.1935665,0.017333111,96.0
-62.653588,2.4195486,-5.180474,-0.01224353,-0.16458325,0.043127212,93.7
-247.22473,5.0715872,-6.5557927,-0.021400661,0.00062983298,0.046339884,93.0
-216.03121,5.1752645,3.2577711,-0.023683223,-0.44474416,-0.058545985,93.9
-25.625813,1.7233161,2.2763653,-0.0086291598,-0.3643767,-0.036245308,91.5
-79.819037,2.5241507,1.0699376,-0.012041362,-0.21625554,-0.038231427,92.4
1.6370069,1.3007397,-2.8073662,-0.0070129774,-0.29441557,-0.0064490846,93.1
-77.719888,2.5579371,-4.6669725,-0.011916038,-0.235104,0.034738754,90.1
151.88709,-1.4718808,-6.6854821,0.0054028171,-0.16509509,0.057247249,90.7
33.979186,0.72785764,3.8004897,-0.0045709401,-0.40715948,-0.049029169,89.5
96.961561,-0.46666913,-4.2964378,0.00045338902,-0.13420561,0.042133028,88.6
-136.18364,3.7537849,-6.7549237,-0.018222132,-0.26568113,0.052925441,86.9
-185.51744,4.7252744,-4.9033575,-0.022754278,-0.2915923,0.025852786,88.2
-262.11448,5.8678789,-5.8767375,-0.02708145,-0.2065687,0.031693756,86.7
-251.6837,5.4926958,-1.9001592,-0.024765792,-0.15791899,-0.0076724384,86.2
-126.12422,3.6365004,-5.8106227,-0.01774707,-0.34440332,0.025799858,86.0
-133.32762,3.1174812,-0.57996123,-0.013430163,-0.11941884,-0.021708164,85.1
-153.12147,3.5464715,-6.0670772,-0.015555161,-0.40251984,0.020377447,85.1
-290.72696,5.732287,-7.0552044,-0.024248598,-0.33200311,0.024340176,87.9
-498.35618,9.1361607,-15.177913,-0.037559918,-0.39522437,0.097384442,87.4
-106.60845,2.7235641,-14.344606,-0.011294451,-0.33803632,0.097767098,87.5
194.3718,-2.1717569,-0.48434393,0.007703571,-0.15025943,0.0046338999,83.6
-6.7782041,1.3256353,0.59297613,-0.006828406,-0.36099279,-0.022919843,81.6
10.900811,0.53162113,0.24712341,-0.002435721,-0.14034351,-0.0059668132,79.3
68.858616,-0.36367987,-4.4006065,0.00052777405,-0.12487196,0.039806974,77.8
-112.96605,2.5895056,7.3781623,-0.01110557,-0.18271658,-0.072558567,76.7
-185.32911,3.9351415,-4.8367708,-0.016973278,-0.084595755,0.032521835,73.9
29.864675,0.37875954,-3.9566944,-0.0027427205,-0.15784082,0.0292725,71.6
116.50198,-1.2692626,-2.3403633,0.0051850605,-0.14030831,0.01558999,71.3
-138.51432,3.271594,-1.5239568,-0.014852386,-0.16792913,0.0079700138,70.6
138.7832,-1.8541397,-2.3190345,0.0081877121,-0.1207498,0.01781095,69.6
-4.6011205,0.75382125,0.38020471,-0.0032547468,-0.17905426,-0.0076436188,70.3
-95.277936,2.4111747,5.8895604,-0.010675368,-0.19408039,-0.063894498,70.0
-148.96875,3.4286407,2.7584156,-0.015529514,-0.19605408,-0.03679184,69.1
-134.16483,2.9813263,2.4031801,-0.012771177,-0.12696603,-0.031705185,69.2
-52.846115,1.5481053,-0.4604118,-0.0068019704,-0.083849848,-0.0063521183,69.5
-23.537982,0.97496698,-0.31125519,-0.004086591,-0.063581984,-0.0051623133,68.8
-72.740004,1.9248395,-1.8340227,-0.0085765423,-0.084538344,0.0056546036,69.1
-165.11972,3.5932648,0.80090787,-0.015789536,-0.12233508,-0.017760341,69.7
-99.237327,2.4705276,-3.1437781,-0.011209433,-0.10375487,0.019864511,69.9
-151.36957,3.3169649,-1.4289892,-0.014727675,-0.085744262,0.0046966677,69.6
-71.257507,1.8253691,-1.2084879,-0.0080051016,-0.05700581,5.2908221e-06,70.5
-62.300697,1.5982928,-2.5621976,-0.0067720162,-0.019530643,0.013886714,72.1
-89.913949,2.2302293,-4.0553848,-0.0099001826,-0.095899353,0.026050173,70.5
-34.210966,1.2344076,1.224427,-0.0052862995,-0.12594356,-0.0091729493,72.0
-16.752104,0.94495478,5.0439156,-0.0036914729,-0.16400045,-0.047292812,71.5
-131.78595,3.1789187,-6.7737365,-0.014602332,-0.056444921,0.053316156,71.9
-86.14436,2.1172612,-4.0026366,-0.0091323981,-0.018615578,0.026729698,73.7
-151.39948,3.4648362,-4.7394712,-0.015925303,-0.076606049,0.036348682,76.8
-144.83888,3.2041835,-4.8341431,-0.014186268,0.055205213,0.032697707,82.5
-60.704654,2.1324588,-0.28072126,-0.01033564,-0.15071298,-0.007120012,83.4
-81.257715,2.3353641,-6.6139161,-0.011064105,0.026946505,0.045722421,83.1
-14.413443,0.94789041,-5.719585,-0.004140798,0.050402963,0.037439965,85.7
8.996166,0.51202991,-5.5355743,-0.0020818441,0.048240705,0.034954098,90.4
-84.282783,2.0464071,-0.10399183,-0.0092022446,-0.060316485,-0.0035076909,66.0
-185.91959,3.9546071,2.7502389,-0.018186085,-0.093288818,-0.028470929,66.6
-78.311746,1.9853481,-0.87291936,-0.0091763194,-0.043952019,0.0021141178,66.7
-69.651392,1.8336354,-3.4300614,-0.0083841173,-0.043896132,0.023362863,66.4
-261.59411,5.2977367,-1.1977277,-0.023951665,-0.019678463,0.0041588326,66.5
-239.41971,4.837529,-1.9573394,-0.021606509,-0.031196255,0.0103971,66.5
-229.97943,4.6149012,0.083280181,-0.020675531,0.021317849,-0.0080998718,66.8
-192.34919,3.9457935,-1.2267028,-0.017515211,-0.02657764,0.0027602385,65.6
-30.112881,1.0990449,-0.81158534,-0.0050680692,-0.11054806,0.0058733252,66.6
184.26394,-2.9542538,-0.73063386,0.014341436,-0.089813728,0.0027162677,66.8
94.184794,-1.1577676,0.093255118,0.0057136284,-0.15755551,-0.0017502399,66.9
-101.7952,2.5176305,-4.5823322,-0.011547871,-0.066021761,0.033374337,67.3
72.949493,-0.8831405,-1.7938595,0.00470026,-0.12196064,0.0090089281,67.7
-271.06373,5.6294065,-3.9830652,-0.02614973,-0.022338113,0.028899664,66.9
-42.246233,1.4455521,-0.63297562,-0.0065793434,-0.10470162,-0.00362617,68.3
234.08554,-3.7794196,-1.6377545,0.018221073,-0.15317669,0.0067819585,67.9
108.19035,-1.2642467,0.30958941,0.0056436969,-0.13041261,-0.0048633149,69.0
250.82936,-4.0606488,-2.4045912,0.019007515,-0.099060149,0.014522255,68.5
96.01097,-1.0563157,-4.5158004,0.0048292495,-0.11041152,0.035663566,69.7
-151.57919,3.4070693,1.0191591,-0.015129772,-0.073125324,-0.020385627,68.2
85.903112,-1.0603411,-1.7527275,0.0055965836,-0.16168742,0.0081060579,68.8
-119.17532,2.7065764,-0.13327804,-0.011784562,-0.13350414,-0.0010077019,68.0
-163.73397,3.5294509,5.8134405,-0.015379209,-0.13882416,-0.064373641,67.7
-210.58244,4.5710311,1.8632934,-0.02094306,-0.18180553,-0.023830629,67.2
-113.94455,2.643601,1.156586,-0.011177342,-0.14297724,-0.015017901,68.0
-99.135928,2.3806128,1.1826064,-0.010221504,-0.1553101,-0.015512487,67.5
-144.78257,3.398124,0.21922341,-0.015760374,-0.15654343,-0.0086340916,68.0
-23.041882,1.0234427,2.8563128,-0.0044720916,-0.15297716,-0.038263223,68.3
-113.60808,2.5454139,-2.7478952,-0.010922186,-0.070101833,0.015555548,68.8
-136.81411,2.9527196,5.131402,-0.012581342,-0.17444558,-0.050986432,68.6
-216.73615,4.6269059,-0.66411936,-0.020899682,-0.12019397,-0.0060522759,68.9
-80.662729,1.8836331,0.3466924,-0.0084362363,-0.033498995,-0.00077734791,68.7
-74.069422,1.8771291,-1.7146768,-0.0085411964,-0.053206546,0.013751671,68.2
-142.87024,3.1396439,-0.44380311,-0.014228284,-0.080269278,-0.0021107438,68.3
-123.41939,2.7598593,-2.9621091,-0.012484299,-0.046717262,0.020613018,69.7
-3.1111085,0.66386603,-4.3758234,-0.003469464,-0.064587969,0.036535024,70.8
54.951967,-0.49910414,-2.8449318,0.0021747809,-0.066441402,0.022738066,71.3
36.838851,-0.038056298,-4.1143967,-0.0001615964,-0.091449547,0.028514948,69.9
-126.23427,2.9331921,-4.6310668,-0.013503389,-0.090658016,0.033549381,70.7
-41.004554,1.1688355,-2.4063722,-0.0048559783,-0.022128537,0.012729039,69.7
-70.390504,1.7006117,-0.34603363,-0.0073271472,-0.016561994,-0.0059785712,70.1
-172.22788,3.4980626,-2.3897558,-0.015124948,-0.022929708,0.014704875,69.5
-72.609016,1.714245,-2.4907004,-0.0071751665,-0.089390655,0.014870364,69.8
-25.361234,0.99704018,-2.4733829,-0.0043613454,-0.11812727,0.014189945,70.0
-130.63204,2.9013167,1.4157133,-0.012844349,-0.14604059,-0.018898692,69.3
-151.69342,3.1975404,1.9563453,-0.013601187,-0.11827835,-0.0215901,68.9
-94.078655,2.1991832,1.6136809,-0.0094435856,-0.14149463,-0.021342246,68.8
-135.80662,2.9805789,2.4030336,-0.012935138,-0.11539519,-0.031079091,68.6
-72.471492,2.0344901,0.95113257,-0.0094297784,-0.18069519,-0.018869832,69.3
-226.92152,4.6507117,-0.57919419,-0.020791212,-0.095863231,-0.0038789555,69.1
-147.3373,3.212948,0.65595825,-0.014348773,-0.1302557,-0.015061859,76.2
-142.94053,3.0666167,-0.95583211,-0.013522126,-0.049287493,0.0011679931,79.4
-129.04042,2.6914433,-0.84848346,-0.011374389,-0.027412204,0.0019627183,81.8
-140.03978,2.9463141,-0.76764719,-0.012576121,-0.120313,0.00044321641,78.9
-91.185337,2.1016289,2.1071638,-0.009124373,-0.10562434,-0.026363713,75.0
-107.23619,2.3653216,1.1857805,-0.010110173,-0.10379995,-0.019174904,70.8
-75.630132,1.9238832,-0.48954553,-0.0085039098,-0.13412142,-0.0051459895,68.7
-128.56968,2.867488,0.41980658,-0.012955543,-0.10765613,-0.0094239758,68.6
-236.33387,4.8336492,0.59221433,-0.021567195,-0.12396638,-0.014135228,68.1
81.077404,-0.92897892,-0.78162149,0.0039907739,-0.10002993,0.00632521,68.6
-220.93642,4.4932939,-3.4621441,-0.019814661,-0.04698399,0.023600627,69.2
-151.64345,3.3031688,0.58493657,-0.014850837,-0.12699383,-0.0089184082,69.4
18.723033,-0.091391093,1.3140461,0.0010920796,-0.040130202,-0.0091233612,68.1
12.661131,0.084453751,2.6681136,0.00038392684,-0.081008143,-0.025587431,68.1
-55.123804,1.4696711,1.1009438,-0.0063364352,-0.1050909,-0.017479735,68.8
41.554683,-0.25722235,0.54475657,0.0013164931,-0.11169819,-0.012595286,68.7
-35.505429,1.106739,1.3587586,-0.0043928291,-0.12838377,-0.018119103,68.3
70.341266,-0.75946363,-3.3224847,0.0036315179,-0.10031092,0.024611141,68.9
35.222035,-0.10065585,-0.94495141,0.00040837992,-0.095148648,0.0042002405,68.8
-7.9441367,0.71519024,-3.4421308,-0.0032742335,-0.081585727,0.02513801,69.2
-43.46193,1.4251261,-2.4065774,-0.0065000115,-0.14094402,0.014911393,69.8
11.759762,0.28620975,-0.73926795,-0.00094674607,-0.13818191,-0.00031845961,69.8
-136.6018,2.8730115,-2.4939842,-0.012245254,-0.053101235,0.013939974,69.6
-126.78363,2.733907,-2.8271478,-0.01180925,-0.068875237,0.01982007,69.1
133.02183,-1.662887,-2.3048012,0.0061726785,-0.066532138,0.019334331,67.9
-150.30182,3.1590641,-3.0868212,-0.013744112,-0.053304877,0.019459982,67.4
-269.54644,5.3389357,-1.4146672,-0.023674661,-0.10408811,0.0044131279,69.5
-38.448533,1.4725917,-6.3293739,-0.0076910497,-0.10635995,0.049559844,69.1
13.16215,0.49105967,-2.9231498,-0.003030349,-0.12827638,0.021769762,70.9
-3.2299426,0.68216683,-1.8026891,-0.0032981129,-0.1131829,0.016298421,71.4
-281.40925,5.7289111,-1.5542657,-0.025986033,-0.084032629,0.0089383453,71.5
-23.004076,1.0771916,-1.7529548,-0.0050950853,-0.080581236,0.0040829301,71.1
-33.405368,1.2127486,-4.3353633,-0.0055165557,-0.074345059,0.028816358,70.3
31.367899,0.18376528,-3.361015,-0.0015364059,-0.10677395,0.025627148,69.8
47.079293,-0.19911835,-1.5512058,0.00033917763,-0.083124043,0.0098949364,69.9
-13.966232,0.92612831,-1.3263279,-0.0046012108,-0.12862151,0.0047903408,70.8
-20.595286,1.0222677,-2.4636815,-0.0050201907,-0.082107175,0.012490367,70.9
-103.32979,2.4721684,0.87209916,-0.011184207,-0.14216198,-0.015252228,69.9
-52.426224,1.5364807,-0.52544659,-0.0071072906,-0.12630238,-0.0013145757,69.2
-119.78073,2.750221,-1.7871287,-0.012506324,-0.095694561,0.0093624253,69.0
-81.453794,1.8963936,0.59224247,-0.0081395458,-0.037625163,-0.013275922,68.6
-42.201536,1.348334,-4.031481,-0.0061500543,-0.096067166,0.028021892,69.1
36.55901,0.12750275,-2.5333964,-0.0010238427,-0.12961993,0.015810209,69.8
